experiment;len_T;len_V;max_V_match_fraction;len_pos_true;len_neg_true;time_all;attack_name;success;len_pos_recovered;len_neg_recovered
T500000V1000000_0.0;500000;1000000;0.0;0;500000;[104671557, 108616797, 108774409, 109877261, 97456642, 108765911, 94952705, 108817870, 102118290, 115046916, 119945647, 140364430, 105056941, 110799161, 104340863, 97010497, 111998104, 96207838, 100881526, 109274656, 108384225, 111312866, 108524786, 98239750, 122382223, 122756625, 106150963, 103410544, 110292516, 106930552, 92935014, 131021923, 106116242, 105419045, 110729951, 96247798, 122658755, 114898154, 137715943, 96975306, 99533362, 119652315, 101427842, 138071666, 100069838, 101332572, 114663262, 98250519, 113874974, 99041887];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000]
T600000V1000000_0.0;600000;1000000;0.0;0;600000;[109864691, 113519710, 106990330, 117489771, 120048158, 119159818, 119892476, 124734997, 133572679, 125256233, 156951965, 122519124, 110172855, 118839525, 104216452, 113359478, 140081159, 114418469, 130124443, 120193919, 121759566, 102031139, 128612517, 144854757, 116648002, 113190206, 101129279, 138346079, 130224415, 100860277, 121625265, 103093389, 122898048, 145644246, 123488825, 167141481, 114391319, 101200461, 124940869, 102824548, 101684466, 136252618, 117119247, 141865227, 111630899, 104705957, 108379066, 139588383, 128110402, 102904979];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000]
T700000V1000000_0.0;700000;1000000;0.0;0;700000;[129279034, 137348039, 149125302, 127760508, 140837575, 137265838, 150215023, 155885724, 137966526, 133400567, 141535463, 135703451, 132649669, 140279270, 160319709, 157142377, 142197190, 151996233, 154012244, 153262905, 149012531, 140762344, 143489243, 127021141, 139119539, 169096951, 147038341, 127850230, 145434354, 155733371, 147612117, 148332414, 162192360, 140766125, 133228415, 175067775, 175158005, 141008908, 147638367, 153835022, 143310642, 142205370, 127876289, 121341082, 137449690, 159657733, 157553280, 152998024, 191242004, 170873830];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000]
T800000V1000000_0.0;800000;1000000;0.0;0;800000;[144868808, 170292065, 156047275, 149649828, 138982636, 137819544, 134849933, 136437969, 198591660, 144558355, 139798915, 141545913, 168606347, 188992710, 159842895, 157063036, 134763452, 146084451, 214777241, 163593694, 146550207, 155456349, 150605888, 153820982, 135405560, 151264815, 150032002, 147473696, 166659386, 188692676, 175525020, 151990292, 147095022, 168792069, 167041590, 151564538, 130516818, 140873827, 155334778, 147881090, 160791594, 167356563, 156651652, 167149732, 188204051, 195417398, 170160662, 133308848, 160555463, 151182395];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000]
T900000V1000000_0.0;900000;1000000;0.0;0;900000;[147346024, 146360513, 157345249, 161881666, 149382835, 154048043, 171852750, 145552555, 140341610, 161837726, 162709865, 152425627, 147012421, 142550493, 159237819, 153160365, 151256695, 209783598, 191111502, 164232670, 175895392, 183571524, 182218809, 148920240, 151011572, 155956725, 163950688, 142518613, 131308377, 151749710, 160680044, 161956037, 148868519, 145482225, 168153912, 154289247, 159074417, 189129062, 168014492, 180211518, 169616667, 172906883, 168688897, 194717090, 149632437, 129456336, 134521210, 140794145, 147135601, 172199834];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000]
T1000000V1000000_0.0;1000000;1000000;0.0;0;1000000;[185531905, 157392260, 170614267, 179070717, 179751884, 178565951, 173275096, 197845913, 173050843, 167597606, 163532764, 159484150, 170900561, 161625544, 195061224, 193092653, 216677791, 217495829, 197272587, 204279231, 219660472, 206724046, 180212598, 165811898, 151747341, 173397138, 219367769, 213821040, 182870715, 163146600, 148090941, 149158963, 199356280, 196911034, 173831361, 223931927, 190677267, 187485004, 198094466, 166527355, 152692730, 155720050, 185659887, 216410628, 222564231, 183887846, 175581160, 153830112, 156058236, 169624747];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000]
T1100000V1000000_0.0;1100000;1000000;0.0;0;1100000;[183072218, 145632416, 162337100, 157716762, 166957718, 153732761, 191008371, 149604618, 182279580, 165749957, 191813030, 183467792, 168973620, 160126188, 191665768, 199563251, 218463250, 183803566, 200841344, 183750525, 186592985, 174657500, 169394385, 164942038, 172750631, 139653134, 168244653, 181791835, 204883637, 179194497, 154609160, 167687057, 177709262, 181922477, 196107545, 182362470, 213264325, 198505850, 149683609, 139389010, 184489302, 191486256, 178477381, 189723807, 182772795, 175954683, 184922618, 156843504, 155261289, 166777891];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000]
T1200000V1000000_0.0;1200000;1000000;0.0;0;1200000;[204358881, 206973349, 200121377, 185849757, 208013480, 168424174, 234007753, 190794239, 204455363, 183633155, 217863282, 201786775, 184023929, 220439179, 229324463, 188333254, 192716680, 158396050, 158420040, 178546251, 177464259, 175493439, 165244361, 266940636, 197621691, 232498586, 246787285, 228333812, 183230390, 206342332, 197140946, 213131083, 169906060, 172931243, 175979984, 215256346, 250256162, 172105944, 210560307, 254670258, 218142686, 203163969, 216507948, 205274290, 201023917, 214218557, 170438129, 161262251, 174881565, 170279776];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000]
T1300000V1000000_0.0;1300000;1000000;0.0;0;1300000;[186424273, 196830662, 182301250, 175884604, 180175777, 181340141, 179680134, 189582577, 187206312, 197278907, 183072919, 201036777, 161077198, 170974012, 155424279, 179775763, 192156913, 202915136, 176591810, 192751070, 192403366, 202396881, 200451930, 208913008, 194298456, 174384136, 184985528, 181508692, 162953007, 183779606, 199353119, 182200540, 179952155, 170822120, 200570762, 214906453, 187237251, 203809635, 184813697, 179158046, 180635732, 190461385, 178237988, 179329851, 177893456, 196679942, 177333730, 197606652, 202264741, 200457843];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000]
T1400000V1000000_0.0;1400000;1000000;0.0;0;1400000;[201092636, 205404093, 191683088, 196067484, 191710770, 175374408, 193984301, 189796039, 179820174, 193788910, 196116454, 201085656, 198214707, 166888679, 189740899, 195731230, 229489014, 208237902, 203632084, 207885668, 200774854, 213708709, 193247874, 207351542, 215478559, 199983065, 227586703, 181820836, 174006993, 182322991, 199442650, 205406242, 169566807, 176268865, 209104931, 178086425, 206237851, 200290328, 218134936, 206096840, 205904387, 193168346, 185699657, 217151968, 190916852, 194830724, 189316296, 200816878, 208566968, 200803847];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000]
T1500000V1000000_0.0;1500000;1000000;0.0;0;1500000;[204672914, 190506076, 195108335, 189296952, 192168835, 218559620, 214263424, 203955486, 219577531, 182918297, 206926449, 191056142, 218988704, 218378788, 198036675, 194159564, 211851789, 210469316, 230928409, 247431733, 221848065, 238503519, 235042122, 233712089, 212431766, 219255287, 199136466, 187920090, 229008420, 213079963, 186663696, 234690118, 198058865, 201186938, 173721781, 174426608, 197920773, 188413504, 210874749, 209178061, 197949357, 195836575, 241475893, 217510493, 224195213, 224020650, 218974747, 205998800, 200951458, 173208947];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000]
T500000V1000000_0.1;500000;1000000;0.1;50000;450000;[220172057, 149096593, 147350164, 158899466, 181266840, 196285546, 221487031, 175202196, 170256014, 213262384, 159618372, 138276538, 176303638, 168352275, 148010380, 174099613, 184479842, 143655155, 160338622, 184983490, 172656192, 182533943, 187291165, 153784973, 180998488, 159388622, 146154213, 181566284, 155897486, 157174069, 191660842, 154641372, 157049077, 182082110, 207877100, 156403461, 159395172, 154661162, 156500302, 175690723, 149364137, 174899895, 147909591, 145090082, 194180668, 196399860, 170715221, 173133205, 203883408, 151037625];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000];[450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000]
T600000V1000000_0.1;600000;1000000;0.1;60000;540000;[220444819, 240152067, 241983835, 185699476, 177530351, 200489251, 209979850, 160270639, 159257620, 172083763, 192991352, 162193820, 157119387, 180201310, 207573617, 176669732, 201468213, 207134583, 164143292, 164759389, 183189341, 191907823, 156308089, 193181396, 170343608, 160046938, 169622860, 195193158, 225161952, 179794877, 168069763, 173252537, 155295989, 169493868, 165595538, 149122814, 186163513, 225390654, 197685383, 164747048, 180380381, 196753654, 174732002, 167187044, 193376398, 146535108, 168058013, 189812251, 179151889, 197732953];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000, 60000];[540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000, 540000]
T700000V1000000_0.1;700000;1000000;0.1;70000;630000;[240853923, 210180102, 184966539, 193903912, 213367646, 215661379, 203810616, 204259783, 205999051, 236362160, 240180431, 197483832, 188441777, 193046986, 224677356, 185482306, 179578424, 196445250, 206003541, 217435180, 240314200, 205548147, 188827181, 224092751, 217620353, 182345992, 202854138, 239329630, 239112707, 239140048, 188855870, 171749311, 201715575, 204536236, 184954380, 175871685, 210106193, 210145535, 200575474, 218126568, 218941567, 209351407, 202244211, 217477161, 204716669, 205070681, 204666167, 222605226, 220219650, 193629041];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000, 70000];[630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000, 630000]
T800000V1000000_0.1;800000;1000000;0.1;80000;720000;[191026112, 217334478, 220919484, 219986955, 228692179, 213481370, 181274732, 192406719, 230822083, 210166964, 198081218, 190996053, 216800225, 214663251, 209821710, 231048263, 247744979, 226125292, 187644267, 227206124, 223190172, 190938372, 184556455, 220323761, 227839150, 205497665, 221013448, 239948597, 203617837, 191654550, 222683325, 230174675, 188455877, 198352911, 215466440, 210222585, 210576589, 207076612, 217957996, 211713852, 197283839, 227853580, 223164731, 211984804, 202501095, 190607569, 215391410, 245255273, 230177185, 189155574];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000, 80000];[720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000, 720000]
T900000V1000000_0.1;900000;1000000;0.1;90000;810000;[215868872, 214530660, 214232437, 234349947, 251207956, 224269413, 216699673, 203197512, 197507381, 214677493, 242854007, 221859267, 239280228, 216131307, 224849569, 221756416, 203372053, 211611740, 257323150, 243296222, 307622996, 253274636, 226263624, 228670559, 216222877, 202521184, 230962614, 235078656, 258750824, 203514795, 206054161, 210126294, 221143299, 230931723, 215134887, 221217470, 220903427, 231757372, 221873457, 213501980, 208448437, 209693010, 208088742, 239653574, 270592908, 259182969, 217064427, 222796368, 246180673, 231434208];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000, 90000];[810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000, 810000]
